Account_number,PORTFOLIO,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,Account Open Date,Loan_amount,Loan_status,Last_payment_date,Origination_fico_score,Current_fico_score,Current_outstanding,Current_outstanding_v1,Loan_amount_v1
38673585,MORTGAGE,149-23-6087,479-493-2345,Van Buren,Crawford,Van Buren,AR,72957,South,19-01-2019,"$4,69,197",Default,10-11-2020,702,722,"$1,45,451",145451,469197
38673586,MORTGAGE,211-84-1802,319-658-2317,Moville,Woodbury,Moville,IA,51039,Midwest,24-08-2021,"$6,19,386",Default,09-08-2021,810,853,"$2,84,918",284918,619386
38673587,CREDIT CARD,556-99-2038,339-922-2190,Pembroke,Plymouth,Pembroke,MA,2359,Northeast,05-02-2018,"$97,890",Non-Default,24-08-2021,803,812,"$25,451",25451,97890
38673588,CREDIT CARD,387-33-8460,231-482-6750,Walloon Lake,Charlevoix,Walloon Lake,MI,49796,Midwest,24-08-2021,"$27,941",Default,24-08-2021,848,871,"$10,618",10618,27941
38673589,CREDIT CARD,154-23-9959,314-613-6146,O Fallon,O Fallon,O Fallon,MO,63368,Midwest,14-09-2018,"$42,361",Default,08-08-2021,803,817,"$5,083",5083,42361
38673590,PERSONAL LOAN,233-57-1697,219-545-4790,Milroy,Rush,Milroy,IN,46156,Midwest,01-04-2021,"$89,913",Non-Default,24-08-2021,655,674,"$18,882",18882,89913
38673591,PERSONAL LOAN,668-48-6539,314-754-2773,Otterville,Cooper,Otterville,MO,65348,Midwest,21-02-2018,"$1,87,829",Non-Default,21-01-2021,886,929,"$67,618",67618,187829
38673592,MORTGAGE,010-94-7929,239-885-9760,Pensacola,Escambia,Pensacola,FL,32534,South,25-09-2019,"$9,48,080",Non-Default,09-04-2021,786,789,"$1,89,616",189616,948080
38673593,PERSONAL LOAN,454-99-5775,218-497-1411,Minneapolis,Hennepin,Minneapolis,MN,55468,Midwest,19-06-2019,"$1,89,741",Non-Default,24-08-2021,870,906,"$60,717",60717,189741
38673594,MORTGAGE,607-87-9402,210-831-8268,Crockett,Houston,Crockett,TX,75835,South,16-04-2021,"$8,82,338",Non-Default,24-08-2021,739,733,"$3,44,112",344112,882338
38673595,MORTGAGE,518-89-4139,208-508-7181,Ahsahka,Clearwater,Ahsahka,ID,83520,West,28-07-2019,"$5,49,238",Default,24-08-2021,789,813,"$2,03,218",203218,549238
38673596,MORTGAGE,308-37-0601,210-249-5201,Bellaire,Harris,Bellaire,TX,77401,South,05-08-2020,"$1,14,087",Non-Default,04-08-2021,719,766,"$19,395",19395,114087
38673597,PERSONAL LOAN,342-11-8228,218-518-5989,Frontenac,Goodhue,Frontenac,MN,55026,Midwest,25-10-2018,"$1,87,333",Non-Default,02-01-2021,840,885,"$76,807",76807,187333
38673598,MORTGAGE,243-99-7149,212-896-8726,Norfolk,St. Lawrence,Norfolk,NY,13667,Northeast,05-04-2019,"$5,49,435",Default,24-08-2021,685,677,"$2,41,751",241751,549435
38673599,CREDIT CARD,102-02-4922,479-771-9518,Russellville,Pope,Russellville,AR,72812,South,18-08-2018,"$84,229",Non-Default,31-03-2021,655,684,"$42,115",42115,84229
38673600,CREDIT CARD,409-99-7222,308-566-5297,Snyder,Dodge,Snyder,NE,68664,Midwest,22-03-2021,"$82,090",Non-Default,24-08-2021,798,815,"$16,418",16418,82090
38673601,CREDIT CARD,311-35-4041,503-976-0235,Frenchglen,Harney,Frenchglen,OR,97736,West,22-08-2021,"$79,732",Non-Default,23-05-2021,699,707,"$18,338",18338,79732
38673602,MORTGAGE,570-99-5449,205-544-4643,Gardendale,Jefferson,Gardendale,AL,35071,South,12-11-2020,"$6,62,650",Default,02-06-2021,650,646,"$1,12,651",112651,662650
38673603,MORTGAGE,236-55-3500,210-955-6384,Sabinal,Uvalde,Sabinal,TX,78881,South,24-08-2021,"$9,58,562",Default,08-12-2020,750,800,"$4,50,524",450524,958562
38673604,PERSONAL LOAN,080-02-9321,201-354-4776,Whitehouse,Hunterdon,Whitehouse,NJ,8888,Northeast,07-01-2019,"$41,884",Non-Default,13-11-2020,855,897,$838,0,41884
38673605,MORTGAGE,553-99-6968,423-994-6997,Andersonville,Anderson,Andersonville,TN,37705,South,17-04-2021,"$7,11,566",Non-Default,05-04-2021,776,769,"$3,48,667",348667,711566
38673606,MORTGAGE,272-17-8097,217-607-6992,Equality,Gallatin,Equality,IL,62934,Midwest,05-02-2020,"$9,79,671",Non-Default,24-07-2021,688,723,"$3,13,495",313495,979671
38673607,MORTGAGE,281-15-4021,210-395-6881,Duncanville,Dallas,Duncanville,TX,75116,South,27-10-2018,"$5,29,660",Non-Default,26-12-2020,675,706,"$1,16,525",116525,529660
38673608,CREDIT CARD,491-29-4208,215-355-0865,Shamokin Dam,Snyder,Shamokin Dam,PA,17876,Northeast,17-10-2019,"$80,873",Non-Default,21-11-2020,869,898,"$4,852",4852,80873
38673609,CREDIT CARD,189-86-2797,406-222-1629,Proctor,Lake,Proctor,MT,59929,West,24-12-2020,"$70,168",Non-Default,09-08-2021,854,896,"$24,559",24559,70168
38673610,MORTGAGE,534-71-7168,270-939-9251,Shelbyville,Shelby,Shelbyville,KY,40065,South,09-11-2018,"$9,93,224",Non-Default,21-04-2021,750,796,"$2,88,035",288035,993224
38673611,MORTGAGE,452-99-5159,262-453-2611,Poy Sippi,Waushara,Poy Sippi,WI,54967,Midwest,27-10-2020,"$4,81,646",Non-Default,12-08-2021,790,829,"$33,715",33715,481646
38673612,CREDIT CARD,413-99-9973,219-237-3290,Riley,Vigo,Riley,IN,47871,Midwest,19-12-2020,"$31,921",Default,24-08-2021,697,717,"$14,364",14364,31921
38673613,MORTGAGE,304-37-4344,405-232-1982,Marland,Noble,Marland,OK,74644,South,24-08-2021,"$1,89,756",Non-Default,14-07-2021,793,820,"$36,054",36054,189756
38673614,CREDIT CARD,551-99-8018,304-619-7398,Maysville,Grant,Maysville,WV,26833,South,16-08-2021,"$54,689",Non-Default,06-12-2020,848,843,"$16,954",16954,54689
38673615,MORTGAGE,251-99-5124,228-916-7675,Laurel,Jones,Laurel,MS,39440,South,14-03-2021,"$8,19,997",Default,22-04-2021,810,806,"$1,63,999",163999,819997
38673616,MORTGAGE,020-94-0490,210-593-4277,Terlingua,Brewster,Terlingua,TX,79852,South,16-02-2019,"$4,13,180",Non-Default,06-04-2021,668,710,"$4,132",4132,413180
38673617,CREDIT CARD,175-86-6459,215-824-8406,Winfield,Union,Winfield,PA,17889,Northeast,06-06-2021,"$81,965",Non-Default,24-08-2021,784,816,"$9,836",9836,81965
38673618,CREDIT CARD,527-99-4285,212-754-9908,Albany,Albany,Albany,NY,12232,Northeast,27-08-2019,"$69,827",Non-Default,30-03-2021,721,742,"$25,836",25836,69827
38673619,MORTGAGE,034-92-6655,479-794-8674,Tyronza,Poinsett,Tyronza,AR,72386,South,04-06-2021,"$8,95,856",Non-Default,04-07-2021,886,877,"$17,917",17917,895856
38673620,PERSONAL LOAN,119-98-0410,240-440-8553,Dames Quarter,Dames Quarter,Dames Quarter,MD,21820,South,05-06-2020,"$1,48,350",Non-Default,24-08-2021,668,677,"$43,022",43022,148350
38673621,CREDIT CARD,258-99-1021,423-622-3756,Nashville,Davidson,Nashville,TN,37214,South,16-11-2020,"$44,898",Default,10-03-2021,888,930,"$13,918",13918,44898
38673622,PERSONAL LOAN,174-86-2888,201-274-7758,Vineland,Cumberland,Vineland,NJ,8360,Northeast,03-09-2019,"$54,746",Default,24-08-2021,728,732,"$15,876",15876,54746
38673623,MORTGAGE,199-84-2022,229-424-4711,Duluth,Gwinnett,Duluth,GA,30097,South,28-07-2021,"$2,31,795",Non-Default,01-11-2020,830,862,"$48,677",48677,231795
38673624,CREDIT CARD,643-29-0168,480-820-3346,Tucson,Pima,Tucson,AZ,85750,West,04-10-2018,"$97,299",Non-Default,14-04-2021,883,912,"$24,325",24325,97299
38673625,CREDIT CARD,752-09-1941,304-275-3381,Carolina,Marion,Carolina,WV,26563,South,05-10-2019,"$37,348",Non-Default,08-12-2020,792,828,"$3,361",3361,37348
38673626,PERSONAL LOAN,219-89-9027,218-432-4424,Coleraine,Itasca,Coleraine,MN,55722,Midwest,01-04-2018,"$1,34,397",Default,27-04-2021,831,868,"$67,199",67199,134397
38673627,MORTGAGE,482-41-8027,339-967-7386,Hyannis Port,Barnstable,Hyannis Port,MA,2647,Northeast,04-07-2018,"$4,59,643",Non-Default,01-08-2021,754,750,"$64,350",64350,459643
38673628,MORTGAGE,654-38-0981,205-502-8380,Dixons Mills,Marengo,Dixons Mills,AL,36736,South,05-01-2019,"$9,35,749",Non-Default,17-11-2020,890,931,"$2,90,082",290082,935749
38673629,CREDIT CARD,691-18-0161,480-856-5132,Phoenix,Maricopa,Phoenix,AZ,85045,West,04-06-2018,"$69,969",Non-Default,31-05-2021,822,871,"$4,198",4198,69969
38673630,MORTGAGE,136-25-1184,304-710-5884,Orlando,Lewis,Orlando,WV,26412,South,24-03-2019,"$4,48,773",Non-Default,23-03-2021,816,845,"$1,25,656",125656,448773
38673631,CREDIT CARD,680-31-1003,212-210-0803,Watertown,Jefferson,Watertown,NY,13601,Northeast,21-08-2018,"$62,580",Non-Default,27-04-2021,755,752,"$8,135",8135,62580
38673632,PERSONAL LOAN,605-87-9844,216-878-5884,Cincinnati,Hamilton,Cincinnati,OH,45206,Midwest,16-08-2021,"$48,950",Non-Default,24-08-2021,757,767,"$19,580",19580,48950
38673633,CREDIT CARD,443-27-8655,262-964-9362,Galloway,Marathon,Galloway,WI,54432,Midwest,17-07-2018,"$57,883",Non-Default,18-04-2021,883,884,"$18,523",18523,57883
38673634,MORTGAGE,408-99-6121,907-513-0613,Fairbanks,Fairbanks North Star,Fairbanks,AK,99790,West,24-08-2021,"$5,55,778",Non-Default,29-11-2020,773,768,"$2,05,638",205638,555778
38673635,MORTGAGE,661-22-1814,207-464-1560,Camden,Knox,Camden,ME,4843,Northeast,22-02-2018,"$7,79,239",Non-Default,04-01-2021,724,759,"$54,547",54547,779239
38673636,PERSONAL LOAN,078-02-4538,215-965-0584,Orbisonia,Huntingdon,Orbisonia,PA,17243,Northeast,10-08-2018,"$1,72,175",Default,24-08-2021,894,924,"$22,383",22383,172175
38673637,MORTGAGE,761-12-7429,702-722-8923,Carson City,Carson City (city),Carson City,NV,89721,West,02-05-2020,"$6,90,331",Non-Default,24-08-2021,673,673,"$1,03,550",103550,690331
38673638,MORTGAGE,277-17-3883,209-270-9588,Nubieber,Lassen,Nubieber,CA,96068,West,02-05-2020,"$6,90,273",Default,23-04-2021,699,698,"$2,48,498",248498,690273
38673639,MORTGAGE,365-39-0856,231-565-8761,Oscoda,Oscoda,Oscoda,MI,48753,Midwest,28-05-2019,"$5,56,275",Default,10-07-2021,828,825,"$2,11,385",211385,556275
38673640,CREDIT CARD,046-15-8620,225-206-9704,Bethany,Caddo,Bethany,LA,71007,South,22-08-2021,"$90,301",Non-Default,27-02-2021,781,782,"$43,344",43344,90301
38673641,MORTGAGE,535-71-8517,225-581-9165,Grand Chenier,Cameron,Grand Chenier,LA,70643,South,12-03-2018,"$2,90,129",Non-Default,24-08-2021,773,798,"$14,506",14506,290129
38673642,MORTGAGE,766-04-2794,319-537-6286,Fontanelle,Adair,Fontanelle,IA,50846,Midwest,14-12-2019,"$8,56,201",Non-Default,06-02-2021,815,860,"$1,71,240",171240,856201
38673643,CREDIT CARD,564-99-3056,216-775-4008,Dayton,Montgomery,Dayton,OH,45424,Midwest,27-12-2018,"$62,886",Default,24-08-2021,872,910,"$8,804",8804,62886
38673644,CREDIT CARD,599-92-6432,316-569-2974,Fowler,Meade,Fowler,KS,67844,Midwest,15-12-2020,"$50,766",Non-Default,10-07-2021,676,681,"$3,554",3554,50766
38673645,CREDIT CARD,699-16-0989,212-314-7941,Marion,Wayne,Marion,NY,14505,Northeast,07-05-2021,"$51,017",Default,18-07-2021,652,689,"$9,693",9693,51017
38673646,CREDIT CARD,079-02-4460,239-694-6684,Summerfield,Marion,Summerfield,FL,34492,South,20-10-2020,"$51,126",Default,24-08-2021,749,743,"$18,917",18917,51126
38673647,CREDIT CARD,575-99-2871,212-479-1401,Bradford,Steuben,Bradford,NY,14815,Northeast,28-12-2018,"$73,242",Non-Default,28-06-2021,760,783,"$35,156",35156,73242
38673648,PERSONAL LOAN,222-11-8097,303-946-2618,Ohio City,Gunnison,Ohio City,CO,81237,West,25-06-2020,"$1,48,092",Non-Default,10-06-2021,738,778,"$17,771",17771,148092
38673649,CREDIT CARD,325-11-5942,270-718-5602,Oven Fork,Oven Fork,Oven Fork,KY,40861,South,06-05-2019,"$86,559",Non-Default,24-02-2021,778,814,"$38,086",38086,86559
38673650,CREDIT CARD,539-71-8770,239-845-9257,O Brien,Suwannee,O Brien,FL,32071,South,24-02-2019,"$77,903",Default,24-08-2021,748,793,"$7,790",7790,77903
38673651,MORTGAGE,563-99-9290,209-290-7541,San Jose,Santa Clara,San Jose,CA,95196,West,11-11-2018,"$7,06,700",Non-Default,24-08-2021,885,875,"$35,335",35335,706700
38673652,PERSONAL LOAN,286-15-4517,215-554-3365,Bridgeport,Montgomery,Bridgeport,PA,19405,Northeast,19-09-2020,"$1,89,042",Non-Default,24-08-2021,889,939,"$86,959",86959,189042
38673653,MORTGAGE,454-99-1506,240-520-4999,Hyattsville,Prince George's,Hyattsville,MD,20785,South,10-08-2018,"$9,63,989",Default,24-08-2021,800,821,"$2,98,837",298837,963989
38673654,MORTGAGE,146-23-8893,218-822-4983,Bingham Lake,Cottonwood,Bingham Lake,MN,56118,Midwest,15-10-2018,"$5,34,799",Default,24-08-2021,764,789,"$2,13,920",213920,534799
38673655,MORTGAGE,752-09-0836,217-844-1533,Smithshire,Warren,Smithshire,IL,61478,Midwest,06-10-2018,"$6,88,809",Non-Default,23-08-2021,851,888,"$82,657",82657,688809
38673656,MORTGAGE,527-99-2378,808-337-2439,Kekaha,Kauai,Kekaha,HI,96752,West,17-08-2018,"$1,89,060",Non-Default,21-08-2021,827,858,"$83,186",83186,189060
38673657,PERSONAL LOAN,297-15-7841,803-766-1484,Pelion,Lexington,Pelion,SC,29123,South,16-02-2019,"$1,97,815",Default,05-07-2021,797,792,"$49,454",49454,197815
38673658,MORTGAGE,191-86-6279,319-478-7338,Titonka,Kossuth,Titonka,IA,50480,Midwest,02-03-2021,"$1,14,143",Default,24-08-2021,851,844,"$36,526",36526,114143
38673659,PERSONAL LOAN,648-58-0558,215-601-4974,Campbelltown,Lebanon,Campbelltown,PA,17010,Northeast,26-09-2020,"$1,40,393",Non-Default,21-01-2021,846,887,"$44,926",44926,140393
38673660,CREDIT CARD,583-99-9143,225-562-9568,Gloster,De Soto,Gloster,LA,71030,South,10-05-2020,"$76,398",Non-Default,24-07-2021,715,738,"$9,932",9932,76398
38673661,MORTGAGE,281-15-2142,210-431-2908,Carrollton,Denton,Carrollton,TX,75010,South,24-10-2019,"$3,83,713",Non-Default,24-08-2021,863,906,"$1,61,159",161159,383713
38673662,MORTGAGE,713-18-5659,210-595-2299,Old Ocean,Brazoria,Old Ocean,TX,77463,South,02-07-2019,"$9,53,139",Non-Default,24-08-2021,802,817,"$38,126",38126,953139
38673663,CREDIT CARD,656-36-1040,316-849-1970,Freeport,Harper,Freeport,KS,67049,Midwest,19-06-2019,"$36,006",Non-Default,24-08-2021,828,869,"$12,602",12602,36006
38673664,MORTGAGE,717-18-8062,304-221-6979,Charleston,Kanawha,Charleston,WV,25302,South,10-11-2018,"$5,51,473",Default,15-12-2020,871,882,"$16,544",16544,551473
38673665,PERSONAL LOAN,523-99-3631,206-414-9623,Humptulips,Grays Harbor,Humptulips,WA,98552,West,04-05-2018,"$1,51,050",Default,29-10-2020,751,754,"$9,063",9063,151050
38673666,MORTGAGE,503-45-0046,229-476-8341,Reidsville,Tattnall,Reidsville,GA,30499,South,24-04-2018,"$2,09,016",Non-Default,03-06-2021,861,880,"$16,721",16721,209016
38673667,MORTGAGE,439-99-9395,225-398-9118,Geismar,Ascension,Geismar,LA,70734,South,28-03-2020,"$2,81,141",Non-Default,06-07-2021,818,824,"$5,623",5623,281141
38673668,PERSONAL LOAN,317-35-3162,319-233-9397,Bayard,Guthrie,Bayard,IA,50029,Midwest,17-06-2021,"$79,369",Non-Default,11-02-2021,700,727,"$7,937",7937,79369
38673669,MORTGAGE,084-02-8563,231-239-4482,Grand Rapids,Kent,Grand Rapids,MI,49504,Midwest,20-04-2018,"$4,41,819",Non-Default,24-08-2021,694,690,"$1,85,564",185564,441819
38673670,CREDIT CARD,119-98-5733,215-753-6443,Conshohocken,Montgomery,Conshohocken,PA,19428,Northeast,12-04-2018,"$70,450",Default,23-03-2021,864,890,"$11,272",11272,70450
38673671,CREDIT CARD,510-33-2272,209-685-5524,Klamath,Del Norte,Klamath,CA,95548,West,12-12-2020,"$62,200",Non-Default,02-08-2021,755,751,"$18,660",18660,62200
38673672,CREDIT CARD,168-86-4252,303-439-4051,Westminster,Adams,Westminster,CO,80036,West,14-11-2020,"$90,548",Default,24-08-2021,828,861,"$9,055",9055,90548
38673673,CREDIT CARD,730-28-5224,302-854-2835,Yorklyn,New Castle,Yorklyn,DE,19736,South,05-10-2019,"$52,977",Non-Default,28-06-2021,811,843,"$25,429",25429,52977
38673674,PERSONAL LOAN,381-37-7296,210-580-0080,San Antonio,Bexar,San Antonio,TX,78254,South,09-03-2019,"$78,303",Non-Default,24-08-2021,723,733,"$33,670",33670,78303
38673675,CREDIT CARD,691-18-0845,239-272-2787,Melbourne,Brevard,Melbourne,FL,32919,South,19-07-2019,"$32,077",Non-Default,26-02-2021,862,911,"$3,208",3208,32077
38673676,MORTGAGE,180-86-1925,316-607-0666,Woodston,Rooks,Woodston,KS,67675,Midwest,14-06-2019,"$1,53,025",Non-Default,14-03-2021,893,887,"$41,317",41317,153025
38673677,CREDIT CARD,141-23-8932,201-633-2534,Trenton,Mercer,Trenton,NJ,8601,Northeast,21-03-2018,"$83,565",Non-Default,06-05-2021,715,710,"$36,769",36769,83565
38673678,MORTGAGE,108-98-2592,208-538-5228,Pollock,Idaho,Pollock,ID,83547,West,28-11-2019,"$6,29,157",Non-Default,19-04-2021,751,783,"$1,32,123",132123,629157
38673679,CREDIT CARD,111-98-5822,201-944-5009,Vineland,Cumberland,Vineland,NJ,8362,Northeast,08-05-2020,"$47,024",Non-Default,24-08-2021,841,888,"$7,994",7994,47024
38673680,MORTGAGE,145-23-2551,702-530-1468,Las Vegas,Clark,Las Vegas,NV,89155,West,17-03-2021,"$3,71,595",Default,14-07-2021,689,724,"$1,18,910",118910,371595
38673681,PERSONAL LOAN,241-99-7036,319-375-3929,Ankeny,Polk,Ankeny,IA,50015,Midwest,12-05-2018,"$1,36,591",Non-Default,17-01-2021,886,921,"$61,466",61466,136591
38673682,MORTGAGE,626-85-7758,240-230-0365,Earleville,Cecil,Earleville,MD,21919,South,25-06-2020,"$3,22,304",Default,16-03-2021,760,807,"$1,12,806",112806,322304
38673683,MORTGAGE,257-99-2443,217-213-8791,Wheaton,DuPage,Wheaton,IL,60187,Midwest,24-08-2021,"$5,44,072",Default,14-07-2021,864,904,"$21,763",21763,544072
38673684,CREDIT CARD,500-29-3283,270-825-1184,Summersville,Green,Summersville,KY,42782,South,08-05-2018,"$69,239",Default,24-08-2021,731,743,"$6,924",6924,69239
38673685,MORTGAGE,354-08-3914,212-905-9874,Brewerton,Onondaga,Brewerton,NY,13029,Northeast,24-08-2021,"$1,12,320",Non-Default,08-04-2021,790,829,"$25,834",25834,112320
38673686,MORTGAGE,528-99-2213,907-989-6466,Wainwright,North Slope,Wainwright,AK,99782,West,04-06-2020,"$2,12,247",Non-Default,27-11-2020,877,913,"$23,347",23347,212247
38673687,CREDIT CARD,395-33-5478,316-215-3237,Olmitz,Barton,Olmitz,KS,67564,Midwest,13-07-2018,"$99,727",Non-Default,11-08-2021,804,821,"$11,967",11967,99727
38673688,PERSONAL LOAN,041-15-7057,218-936-7040,Fifty Lakes,Crow Wing,Fifty Lakes,MN,56448,Midwest,12-10-2020,"$1,12,074",Non-Default,30-07-2021,877,909,"$3,362",3362,112074
38673689,PERSONAL LOAN,274-17-5979,314-470-5719,Saint Peters,St. Charles,Saint Peters,MO,63376,Midwest,13-01-2018,"$1,84,368",Non-Default,16-03-2021,822,825,"$16,593",16593,184368
38673690,MORTGAGE,147-23-3658,217-868-7010,Forest City,Mason,Forest City,IL,61532,Midwest,25-02-2021,"$5,14,081",Non-Default,29-05-2021,705,703,"$1,07,957",107957,514081
38673691,MORTGAGE,640-29-4230,252-399-8698,Dobson,Surry,Dobson,NC,27017,South,13-03-2019,"$1,58,986",Default,07-11-2020,898,947,"$76,313",76313,158986
38673692,CREDIT CARD,474-55-7589,215-487-2693,Howard,Centre,Howard,PA,16841,Northeast,11-03-2021,"$64,708",Default,04-07-2021,799,845,"$23,942",23942,64708
38673693,CREDIT CARD,237-99-6672,201-593-7619,Wharton,Morris,Wharton,NJ,7885,Northeast,21-05-2019,"$51,704",Default,22-07-2021,689,737,"$15,511",15511,51704
38673694,PERSONAL LOAN,097-02-3073,385-579-4998,Pleasant Grove,Utah,Pleasant Grove,UT,84062,West,02-04-2018,"$1,74,370",Non-Default,31-07-2021,721,712,"$5,231",5231,174370
38673695,MORTGAGE,412-99-7530,702-930-0580,Las Vegas,Clark,Las Vegas,NV,89148,West,27-01-2021,"$2,08,326",Non-Default,18-03-2021,784,821,"$87,497",87497,208326
38673696,CREDIT CARD,360-08-4375,304-985-2624,Morgantown,Monongalia,Morgantown,WV,26504,South,23-04-2018,"$63,703",Non-Default,24-08-2021,785,820,"$14,652",14652,63703
38673697,PERSONAL LOAN,175-86-1469,252-410-2682,Rockwell,Rowan,Rockwell,NC,28138,South,27-07-2019,"$1,43,994",Default,21-06-2021,725,720,"$43,198",43198,143994
38673698,CREDIT CARD,485-41-9721,803-478-8876,Aiken,Aiken,Aiken,SC,29801,South,23-03-2020,"$60,197",Default,30-03-2021,687,732,"$4,816",4816,60197
38673699,MORTGAGE,711-18-8744,316-690-1685,Liberty,Montgomery,Liberty,KS,67351,Midwest,16-01-2020,"$6,41,031",Non-Default,24-08-2021,878,918,"$1,47,437",147437,641031
38673700,CREDIT CARD,415-99-7694,215-612-2219,Harrisburg,Dauphin,Harrisburg,PA,17130,Northeast,01-12-2020,"$47,120",Non-Default,06-03-2021,831,829,"$17,906",17906,47120
38673701,PERSONAL LOAN,456-99-2872,215-536-3004,Johnsonburg,Elk,Johnsonburg,PA,15845,Northeast,25-12-2018,"$1,54,605",Non-Default,24-08-2021,863,879,"$69,572",69572,154605
38673702,CREDIT CARD,183-86-6147,308-675-1267,Weeping Water,Cass,Weeping Water,NE,68463,Midwest,16-07-2018,"$83,408",Non-Default,22-04-2021,888,903,"$40,870",40870,83408
38673703,CREDIT CARD,346-08-0768,231-671-4710,Prattville,Prattville,Prattville,MI,49273,Midwest,14-01-2020,"$86,433",Default,15-12-2020,763,787,"$12,101",12101,86433
38673704,CREDIT CARD,481-41-3606,802-639-9797,Bethel,Windsor,Bethel,VT,5032,Northeast,20-11-2020,"$69,575",Non-Default,24-08-2021,894,921,"$7,653",7653,69575
38673705,CREDIT CARD,401-73-5418,215-526-2531,Glenmoore,Chester,Glenmoore,PA,19343,Northeast,25-11-2018,"$92,667",Default,07-05-2021,708,757,"$37,993",37993,92667
38673706,CREDIT CARD,564-99-3176,209-706-1739,Port Hueneme,Ventura,Port Hueneme,CA,93041,West,11-05-2018,"$88,450",Non-Default,24-08-2021,681,726,"$13,268",13268,88450
38673707,CREDIT CARD,454-99-1027,216-589-4850,Reesville,Clinton,Reesville,OH,45166,Midwest,28-05-2020,"$75,842",Non-Default,17-01-2021,663,685,"$16,685",16685,75842
38673708,MORTGAGE,278-17-8949,239-663-6180,Windermere,Orange,Windermere,FL,34786,South,07-01-2021,"$5,78,809",Non-Default,24-08-2021,752,791,"$2,37,312",237312,578809
38673709,CREDIT CARD,522-99-0675,215-957-7708,Mount Morris,Greene,Mount Morris,PA,15349,Northeast,22-09-2020,"$86,912",Default,31-07-2021,755,756,"$12,168",12168,86912
38673710,CREDIT CARD,256-99-4913,339-630-2363,Sheldonville,Norfolk,Sheldonville,MA,2070,Northeast,03-03-2018,"$27,850",Non-Default,24-08-2021,813,809,"$2,785",2785,27850
38673711,CREDIT CARD,771-02-6478,209-285-9800,Anaheim,Orange,Anaheim,CA,92802,West,27-01-2018,"$57,136",Non-Default,30-11-2020,739,770,"$10,856",10856,57136
38673712,MORTGAGE,168-86-6349,210-508-4687,Nocona,Montague,Nocona,TX,76255,South,18-12-2020,"$2,62,146",Non-Default,19-06-2021,777,788,"$83,887",83887,262146
38673713,PERSONAL LOAN,284-15-2241,339-933-7480,Middleboro,Plymouth,Middleboro,MA,2348,Northeast,20-05-2020,"$78,662",Non-Default,24-08-2021,750,761,"$24,385",24385,78662
38673714,CREDIT CARD,412-99-3747,252-232-7709,State Road,Surry,State Road,NC,28676,South,02-04-2020,"$88,865",Default,22-07-2021,701,701,"$18,662",18662,88865
38673715,MORTGAGE,250-99-8613,319-624-9756,Elkader,Clayton,Elkader,IA,52043,Midwest,09-02-2019,"$4,54,042",Non-Default,24-08-2021,800,833,"$36,323",36323,454042
38673716,MORTGAGE,391-33-9207,803-620-1140,Camden,Kershaw,Camden,SC,29020,South,24-08-2021,"$6,90,176",Non-Default,02-02-2021,674,695,"$3,10,579",310579,690176
38673717,MORTGAGE,343-11-0747,212-883-3294,New York City,New York,New York City,NY,10106,Northeast,02-08-2020,"$7,23,176",Non-Default,19-04-2021,839,889,"$72,318",72318,723176
